incident_county,incident_acres_burned,longitude,latitude
Riverside,10,-116.88097,33.87107
Contra Costa,20,-122.2102,37.86549
Kern,10,-118.796513,35.564124
Butte,91,-121.64897,39.52499
Siskiyou,46,-122.4571,41.8721
Tulare,339,-118.87676,36.45809
Madera,157,-120.0193,37.12759
Kern,206,-118.47939,35.59804
Kern,35,-118.84134,35.37351
Monterey,14,-120.52508,35.80375
Madera,1431,-119.8011,37.0825
Fresno,186,-120.405077,36.704679
Napa,22,-122.2654,38.68347
Monterey,32,-120.983684,35.902149
Fresno,450,-120.369347,36.616986
Fresno,76,-119.35901,36.8005
Tuolumne,38,-120.45268,37.85137
Riverside,33,-116.972036,33.584036
San Diego,50,-117.29509,33.23281
Tulare,135,-118.74542,35.8556
Riverside,20,-116.85226,33.52584
San Luis Obispo,150,-120.3187,35.6871
Mariposa,63,-120.0088,37.36914
Riverside,105,-116.884446,33.950382
Riverside,28,-117.11659,33.79925
Butte,134,-121.75417,39.69717
Riverside,10,33.939428,117.138741
Monterey,32,-120.93371,35.90092
Los Angeles,800,-118.60703,34.55607
Tehama,60,-122.83208,40.32063
Riverside,10,-116.9669,33.90965
Riverside,153,-117.21314,33.98639
Madera,25,-119.95136,37.02081
Kern,1522,-118.66733,35.53456
Riverside,26,-117.31924,33.71025
Siskiyou,56,-122.36545,41.93006
Solano,39,-122.23004,38.07481
San Bernardino,1503,-116.826,34.2976
Sierra,168,-120.02325,39.71101
Stanislaus,65,-120.68992,37.82934
Santa Clara,54,-121.76323,37.33454
Butte,21,-121.4143,39.364
Butte,111,-121.5786,39.38416
Fresno,357,-120.65185,36.27306
Tehama,42,-122.27379,40.10282
Tulare,0,-119.50606,36.51912
Los Angeles,760,-118.49343,34.37443
San Diego,36,-116.77342,33.1683
Riverside,6309,-116.594422,33.530045
Siskiyou,19,-122.645079,40.703775
San Luis Obispo,1598,-120.4992,35.4025
Sacramento,35,-120.92162,38.45822
Marin,38,-122.65749,37.9775
San Diego,25,-116.8516,32.7789
San Bernardino,670,-117.17813,34.14575
Del Norte,28,-124.19629,41.93323
